"","condition","item","response","response_time","subject","ambiguity_G","question_type_G","ambiguity","question_type"
"63","exp4","3",1,2794,1,"Unambiguous","Main_Clause_Question",-1,1
"69","exp2","9",0,3354,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"75","exp2","5",0,2605,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"81","exp3","6",1,3141,1,"Ambiguous","Main_Clause_Question",1,1
"87","exp3","14",0,1609,1,"Ambiguous","Main_Clause_Question",1,1
"93","exp2","1",1,3773,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"99","exp3","2",1,1741,1,"Ambiguous","Main_Clause_Question",1,1
"105","exp1","8",1,4044,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"111","exp4","7",1,2398,1,"Unambiguous","Main_Clause_Question",-1,1
"117","exp1","12",0,3332,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"123","exp3","10",0,3133,1,"Ambiguous","Main_Clause_Question",1,1
"129","exp4","11",0,4090,1,"Unambiguous","Main_Clause_Question",-1,1
"135","exp1","4",0,3374,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"141","exp2","13",1,4544,1,"Unambiguous","Subordinate_Clause_Question",-1,-1
"147","exp4","15",1,2879,1,"Unambiguous","Main_Clause_Question",-1,1
"153","exp1","16",0,3330,1,"Ambiguous","Subordinate_Clause_Question",1,-1
"220","exp3","1",1,2696,2,"Ambiguous","Main_Clause_Question",1,1
"226","exp4","10",1,2917,2,"Unambiguous","Main_Clause_Question",-1,1
"232","exp2","12",0,3875,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"238","exp1","11",1,3182,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"244","exp3","13",1,1782,2,"Ambiguous","Main_Clause_Question",1,1
"250","exp4","14",0,1899,2,"Unambiguous","Main_Clause_Question",-1,1
"256","exp2","8",0,3872,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"262","exp2","4",0,1859,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"268","exp2","16",0,2049,2,"Unambiguous","Subordinate_Clause_Question",-1,-1
"274","exp1","7",0,1600,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"280","exp4","6",1,1354,2,"Unambiguous","Main_Clause_Question",-1,1
"286","exp1","3",1,10791,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"292","exp4","2",1,1360,2,"Unambiguous","Main_Clause_Question",-1,1
"298","exp1","15",0,1701,2,"Ambiguous","Subordinate_Clause_Question",1,-1
"304","exp3","9",0,7032,2,"Ambiguous","Main_Clause_Question",1,1
"310","exp3","5",0,3666,2,"Ambiguous","Main_Clause_Question",1,1
"373","exp1","6",0,5700,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"379","exp2","3",1,6764,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"385","exp4","9",0,10420,3,"Unambiguous","Main_Clause_Question",-1,1
"391","exp3","16",1,4721,3,"Ambiguous","Main_Clause_Question",1,1
"397","exp2","7",0,3879,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"403","exp3","4",0,6483,3,"Ambiguous","Main_Clause_Question",1,1
"409","exp2","11",1,9221,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"415","exp3","8",1,2931,3,"Ambiguous","Main_Clause_Question",1,1
"421","exp4","13",1,1754,3,"Unambiguous","Main_Clause_Question",-1,1
"427","exp1","2",0,2003,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"433","exp4","1",1,2059,3,"Unambiguous","Main_Clause_Question",-1,1
"439","exp1","14",1,3932,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"445","exp3","12",1,1496,3,"Ambiguous","Main_Clause_Question",1,1
"451","exp4","5",1,1826,3,"Unambiguous","Main_Clause_Question",-1,1
"457","exp1","10",1,4681,3,"Ambiguous","Subordinate_Clause_Question",1,-1
"463","exp2","15",1,4710,3,"Unambiguous","Subordinate_Clause_Question",-1,-1
"530","exp2","2",1,5739,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"536","exp1","9",1,2131,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"542","exp2","10",0,3068,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"548","exp1","5",1,1493,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"554","exp3","3",1,2737,4,"Ambiguous","Main_Clause_Question",1,1
"560","exp4","8",1,2788,4,"Unambiguous","Main_Clause_Question",-1,1
"566","exp3","7",1,2120,4,"Ambiguous","Main_Clause_Question",1,1
"572","exp1","1",1,3810,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"578","exp2","14",1,3774,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"584","exp2","6",0,2966,4,"Unambiguous","Subordinate_Clause_Question",-1,-1
"590","exp4","12",1,2406,4,"Unambiguous","Main_Clause_Question",-1,1
"596","exp3","11",0,3148,4,"Ambiguous","Main_Clause_Question",1,1
"602","exp1","13",0,2829,4,"Ambiguous","Subordinate_Clause_Question",1,-1
"608","exp3","15",1,2611,4,"Ambiguous","Main_Clause_Question",1,1
"614","exp4","4",1,2452,4,"Unambiguous","Main_Clause_Question",-1,1
"620","exp4","16",1,1218,4,"Unambiguous","Main_Clause_Question",-1,1
"683","exp3","14",0,6410,5,"Ambiguous","Main_Clause_Question",1,1
"689","exp3","6",1,3753,5,"Ambiguous","Main_Clause_Question",1,1
"695","exp4","15",0,2698,5,"Unambiguous","Main_Clause_Question",-1,1
"701","exp3","2",1,2012,5,"Ambiguous","Main_Clause_Question",1,1
"707","exp4","3",1,2355,5,"Unambiguous","Main_Clause_Question",-1,1
"713","exp2","13",1,2508,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"719","exp3","10",1,2556,5,"Ambiguous","Main_Clause_Question",1,1
"725","exp2","5",1,3182,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"731","exp2","9",1,2559,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"737","exp2","1",1,5758,5,"Unambiguous","Subordinate_Clause_Question",-1,-1
"743","exp1","4",1,2056,5,"Ambiguous","Subordinate_Clause_Question",1,-1
"749","exp1","16",0,6967,5,"Ambiguous","Subordinate_Clause_Question",1,-1
"755","exp1","12",0,1440,5,"Ambiguous","Subordinate_Clause_Question",1,-1
"761","exp1","8",1,7993,5,"Ambiguous","Subordinate_Clause_Question",1,-1
