"","condition","item","sentence","reading_time","subject","ambiguity_G","ambiguity"
"62","exp4","3","After the bear scratched%2C the lion in the forest climbed the tree.",4526,1,"Unambiguous",-1
"68","exp2","9","After the parents kissed%2C their son in the dining room ate some bread.",4304,1,"Unambiguous",-1
"74","exp2","5","After the parents kissed%2C the child in the kitchen ate some chocolate.",3841,1,"Unambiguous",-1
"80","exp3","6","After the mouse scratched the man with the dark hair drank some water.",6003,1,"Ambiguous",1
"86","exp3","14","After the lady woke up her friend in the flat drank a cup of tea.",5736,1,"Ambiguous",1
"92","exp2","1","After the lady woke up%2C the boy in the room ate a sandwich.",7413,1,"Unambiguous",-1
"98","exp3","2","After the woman dressed the boy at home read a book.",5589,1,"Ambiguous",1
"104","exp1","8","After the lady woke up her husband at home drank some coffee.",5756,1,"Ambiguous",1
"110","exp4","7","After the lady dressed%2C the boy in the house watched the television.",3570,1,"Unambiguous",-1
"116","exp1","12","After the lady dressed the child in the bedroom looked at the clock.",4333,1,"Ambiguous",1
"122","exp3","10","After the brothers hugged their mother in the kitchen ate some cookies.",5246,1,"Ambiguous",1
"128","exp4","11","After the nurse woke up%2C the patient in the hospital knocked on the door.",5918,1,"Unambiguous",-1
"134","exp1","4","After the parents hugged their child in the park sat on the bench.",4002,1,"Ambiguous",1
"140","exp2","13","After the girls hugged%2C their father in the kitchen drank some lemonade.",3424,1,"Unambiguous",-1
"146","exp4","15","After the parents kissed%2C their child in the bedroom ate some biscuits.",3243,1,"Unambiguous",-1
"152","exp1","16","After the old lady dressed the boy in the bedroom looked at the clock.",3745,1,"Ambiguous",1
"219","exp3","1","After the lady woke up the boy in the room ate a sandwich.",4044,2,"Ambiguous",1
"225","exp4","10","After the brothers hugged%2C their mother in the kitchen ate some cookies.",2905,2,"Unambiguous",-1
"231","exp2","12","After the lady dressed%2C the child in the bedroom looked at the clock.",2497,2,"Unambiguous",-1
"237","exp1","11","After the nurse woke up the patient in the hospital knocked on the door.",3311,2,"Ambiguous",1
"243","exp3","13","After the girls hugged their father in the kitchen drank some lemonade.",4374,2,"Ambiguous",1
